,LIST_ENTRPS,LIST_REGION,LIST_SIGUNGU,LIST_REPAIR_SHOP,LIST_ADDRESS,LIST_TEL,LIST_REPAIR_RANGE
0,"볼보, 폴스타(동일)",서울특별시,강남구,볼보 강남 대치 서비스센터,서울특별시 강남구 삼성로71길 6,02-3473-6080,모든 수리(고전압 베터리 수리 포함)
1,"볼보, 폴스타(동일)",서울특별시,강남구,볼보 강남 율현 서비스센터,서울특별시 강남구 헌릉로 757길 61,02-445-6090,모든 수리(고전압 베터리 수리 포함)
2,"볼보, 폴스타(동일)",부산광역시,수영구,볼보 광안 서비스센터,부산광역시 수영구 광남로 147,051-759-0600,모든 수리(고전압 베터리 수리 포함)
3,"볼보, 폴스타(동일)",광주광역시,서구,볼보 광주 서비스센터,광주광역시 서구 상무대로 1096,062-372-2882,모든 수리(고전압 베터리 수리 포함)
4,"볼보, 폴스타(동일)",경기도,구리시,볼보 구리 서비스센터,경기도 구리시 동구릉로 23,031-562-1234,모든 수리(고전압 베터리 수리 포함)
5,"볼보, 폴스타(동일)",경상남도,김해시,볼보 김해 서비스센터,경상남도 김해시 김해대로 2427,055-338-9979,모든 수리(고전압 베터리 수리 포함)
6,"볼보, 폴스타(동일)",대구광역시,동구,볼보 대구 서비스센터,대구광역시 동구 안심로 55길 15,053-763-5800,모든 수리(고전압 베터리 수리 포함)
7,"볼보, 폴스타(동일)",대전광역시,유성구,볼보 대전 서비스센터,대전광역시 유성구 한밭대로 378,042-638-2200,모든 수리(고전압 베터리 수리 포함)
8,"볼보, 폴스타(동일)",서울특별시,동대문,볼보 동대문 서비스센터,서울특별시 동대문구 천호대로 373,1644-0322,모든 수리(고전압 베터리 수리 포함)
9,"볼보, 폴스타(동일)",경기도,부천시,볼보 부천 서비스센터,경기도 부천시 길주로 423,032-713-8955,모든 수리(고전압 베터리 수리 포함)
10,"볼보, 폴스타(동일)",경기도,성남시,볼보 분당 서현 서비스센터,경기도 성남시 분당구 새마을로 51번길 1 ,031-701-5656,모든 수리(고전압 베터리 수리 포함)
11,"볼보, 폴스타(동일)",경기도,성남시,볼보 분당 판교 서비스센터,경기도 성남시 분당구 대왕판교로 200,031-739-6860,모든 수리(고전압 베터리 수리 포함)
12,"볼보, 폴스타(동일)",대구광역시,달서구,볼보 서대구 서비스센터,대구광역시 달서구 와룡로 105,053-551-7600,모든 수리(고전압 베터리 수리 포함)
13,"볼보, 폴스타(동일)",서울특별시,서초구,볼보 서초 서비스센터,서울특별시 서초구 사임당로 114,02-3705-1333,모든 수리(고전압 베터리 수리 포함)
14,"볼보, 폴스타(동일)",서울특별시,성동구,볼보 성수 서비스센터,서울특별시 성동구 성수이로20길 50,1588-7060,모든 수리(고전압 베터리 수리 포함)
15,"볼보, 폴스타(동일)",서울특별시,송파구,볼보 송파 서비스센터,서울특별시 송파구 위례성대로124,02-3705-1300,모든 수리(고전압 베터리 수리 포함)
16,"볼보, 폴스타(동일)",경기도,수원시,볼보 수원 서비스센터,경기도 수원시 영통구 매영로 171 ,031-211-8575,모든 수리(고전압 베터리 수리 포함)
17,"볼보, 폴스타(동일)",전라남도,순천시,볼보 순천 서비스센터,전라남도 순천시 해룡면 상삼리 128,061-723-8228,모든 수리(고전압 베터리 수리 포함)
18,"볼보, 폴스타(동일)",경기도,안양시,볼보 안양 서비스센터,경기도 안양시 동안구 관악대로 265 ,031-385-7255,모든 수리(고전압 베터리 수리 포함)
19,"볼보, 폴스타(동일)",서울특별시,영등포,볼보 영등포 문래 서비스센터,서울특별시 영등포구 선유로 5,02-6964-7266,모든 수리(고전압 베터리 수리 포함)
20,"볼보, 폴스타(동일)",서울특별시,영등포,볼보 영등포 양평 서비스센터,서울특별시 영등포구 영등포로 5길-6,1588-8040,모든 수리(고전압 베터리 수리 포함)
21,"볼보, 폴스타(동일)",울산광역시,남구,볼보 울산 서비스센터,울산광역시 남구 화합로 219,052-208-8800,모든 수리(고전압 베터리 수리 포함)
22,"볼보, 폴스타(동일)",강원특별자치도,원주시,볼보 원주 서비스센터,강원도 원주시 무실밤골길 16,033-660-5777,모든 수리(고전압 베터리 수리 포함)
23,"볼보, 폴스타(동일)",경기도,의정부,볼보 의정부 서비스센터,경기도 의정부시 동일로 100,031-563-1234,모든 수리(고전압 베터리 수리 포함)
24,"볼보, 폴스타(동일)",인천광역시,연수구,볼보 인천 서비스센터,인천광역시 연수구 능허대로 247 ,032-834-0776,모든 수리(고전압 베터리 수리 포함)
25,"볼보, 폴스타(동일)",경기도,고양시,볼보 일산 서비스센터,경기도 고양시 일산동구 은행마을로 46-43,031-904-8255,모든 수리(고전압 베터리 수리 포함)
26,"볼보, 폴스타(동일)",전라북도,전주시,볼보 전주 서비스센터,전라북도 전주시 덕진구 기린대로 885 ,063-213-2882,모든 수리(고전압 베터리 수리 포함)
27,"볼보, 폴스타(동일)",제주특별자치도,제주시,볼보 제주 서비스센터,제주특별자치도 제주시 연삼로 98,064-747-2882,모든 수리(고전압 베터리 수리 포함)
28,"볼보, 폴스타(동일)",경상남도,창원시,볼보 창원 서비스센터,경상남도 창원시 마산회원구 봉양로 122,055-714-8030,모든 수리(고전압 베터리 수리 포함)
29,"볼보, 폴스타(동일)",충청남도,천안시,볼보 천안 서비스센터,충청남도 천안시 서북구 동서대로 15,041-559-8080,모든 수리(고전압 베터리 수리 포함)
30,"볼보, 폴스타(동일)",경상북도,포항시,볼보 포항 서비스센터,경상북도 포항시 북구 새천년대로 519,054-278-5656,모든 수리(고전압 베터리 수리 포함)
31,"볼보, 폴스타(동일)",부산광역시,해운대,볼보 해운대 서비스센터,부산광역시 해운대구 해운대로 269 ,051-714-7407,모든 수리(고전압 베터리 수리 포함)
