,LIST_ENTRPS,LIST_REGION,LIST_SIGUNGU,LIST_REPAIR_SHOP,LIST_ADDRESS,LIST_TEL,LIST_REPAIR_RANGE
0,현대,전북특별자치도,전주시,(유)팔복현대서비스,전북특별자치도 전주시 덕진구 동곡로 25 (팔복동2가),063-211-9688,고전압배터리 제외 전 작업 수리 가능
1,현대,전라남도,목포시,(유)평화점,전라남도 목포시 평화로 107-5,061-284-8504,고전압배터리 제외 전 작업 수리 가능
2,현대,전북특별자치도,익산시,(유)현대자동차익산서비스,전북특별자치도 익산시 서동로 491 (용제동),063-837-7111,고전압배터리 제외 전 작업 수리 가능
3,현대,강원특별자치도,원주시,(자)신흥공업사,강원특별자치도 원주시 강변로 577 (학성동),033-742-3533,고전압배터리 제외 전 작업 수리 가능
4,현대,대전광역시,서구,(자)유승기업,대전광역시 서구 계룡로 510 (탄방동),042-523-0033,모든수리
5,현대,경기도,광명시,(주)가학점,경기도 광명시 서독로 170 (가학동 265-4),02-2689-8278,모든수리
6,현대,인천광역시,서구,(주)검단자동차,인천광역시 서구 단봉로 75 (왕길동),032-563-7500,고전압배터리 제외 전 작업 수리 가능
7,현대,경기도,남양주,(주)경기자동차,경기도 남양주시 진접읍 금강로 1943-11,031-528-0770,고전압배터리 제외 전 작업 수리 가능
8,현대,인천광역시,남동구,(주)고잔점,인천광역시 남동구 은청로 26-24 (고잔동),032-813-8283,고전압배터리 제외 전 작업 수리 가능
9,현대,경기도,안산시,(주)고잔점,경기도 안산시 단원구 중앙대로 951 (고잔동),031-484-8572,고전압배터리 제외 전 작업 수리 가능
10,현대,서울특별시,관악구,(주)관악정비센터,서울특별시 관악구 봉천로 412 (봉천동),02-877-0024,고전압배터리 제외 전 작업 수리 가능
11,현대,전라남도,광양시,(주)광양정비센터,전라남도 광양시 광양읍 해광로 888,061-761-2222,고전압배터리 제외 전 작업 수리 가능
12,현대,경상북도,구미시,(주)구미현대서비스,경상북도 구미시 비산로 45 (비산동),054-464-3300,고전압배터리 제외 전 작업 수리 가능
13,현대,서울특별시,은평구,(주)구산점,서울특별시 은평구 서오릉로 239 (구산동),02-363-8204,고전압배터리 제외 전 작업 수리 가능
14,현대,경기도,성남시,(주)궁내점,경기도 성남시 분당구 대왕판교로 301 (궁내동),031-712-6073,고전압배터리 제외 전 작업 수리 가능
15,현대,충청남도,공주시,(주)금흥점,충청남도 공주시 한적2길 52-7 (금흥동),041-855-3308,고전압배터리 제외 전 작업 수리 가능
16,현대,경기도,김포시,(주)김포카독크,경기도 김포시 조리미로 17 (사우동),031-983-4891,고전압배터리 제외 전 작업 수리 가능
17,현대,인천광역시,남동구,(주)남동서비스,인천광역시 남동구 논현고잔로88번길 16 (고잔동),032-446-2215,고전압배터리 제외 전 작업 수리 가능
18,현대,충청남도,서산시,(주)남부현대서비스,충청남도 서산시 남부순환로 20-8 (수석동),041-668-1188,모든수리
19,현대,인천광역시,남동구,(주)남인천현대써비스,인천광역시 남동구 은청로 32 (고잔동),032-816-1500,모든수리
20,현대,경상남도,진주시,(주)남진주현대서비스,경상남도 진주시 정촌면 연꽃로 60,055-762-5000,고전압배터리 제외 전 작업 수리 가능
21,현대,인천광역시,서구,(주)네바퀴사랑,인천광역시 서구 방축로 335 (가좌동),032-584-0180,고전압배터리 제외 전 작업 수리 가능
22,현대,인천광역시,남동구,(주)논현점,인천광역시 남동구 은봉로312번길 29-2 (논현동),032-441-2350,모든수리
23,현대,대구광역시,달성군,(주)달성현대서비스,대구광역시 달성군 논공읍 비슬로350길 4-5,053-636-3100,모든수리
24,현대,경기도,여주시,(주)대광현대서비스,경기도 여주시 가남읍 여주남로 755 1층,031-881-1079,고전압배터리 제외 전 작업 수리 가능
25,현대,경기도,광주시,(주)대산공사,경기도 광주시 곤지암읍 평촌길 100-9 (곤지암),031-763-8162,고전압배터리 제외 전 작업 수리 가능
26,현대,경기도,고양시,(주)대화로점,경기도 고양시 일산서구 대화로 83 (대화동),031-926-3345,고전압배터리 제외 전 작업 수리 가능
27,현대,경상북도,울진군,(주)동경자동차종합정비,경상북도 울진군 평해읍 동해대로 723,054-787-5555,고전압배터리 제외 전 작업 수리 가능
28,현대,경상북도,김천시,(주)동김천현대서비스,경상북도 김천시 혁신로 316-17,054-434-7757,모든수리
29,현대,경기도,광주시,(주)동부현대모터스,경기도 광주시 중앙로 21 (쌍령동),031-764-8181,고전압배터리 제외 전 작업 수리 가능
30,현대,충청남도,천안시,(주)동부현대서비스,충청남도 천안시 동남구 목천읍 신계2길 12-11,041-522-1110,고전압배터리 제외 전 작업 수리 가능
31,현대,서울특별시,용산구,(주)동빙고점,서울특별시 용산구 서빙고로 303 (동빙고동),02-792-0300,고전압배터리 제외 전 작업 수리 가능
32,현대,충청남도,당진시,(주)동양모터스,충청남도 당진시 송악읍 대섬길 228,041-357-6811,고전압배터리 제외 전 작업 수리 가능
33,현대,인천광역시,중구,(주)동인천서비스,인천광역시 중구 인중로 43 (신흥동3가),032-884-4005,모든수리
34,현대,인천광역시,남동구,(주)만수동부점,인천광역시 남동구 백범로 73 (만수동),032-464-8204,고전압배터리 제외 전 작업 수리 가능
35,현대,경상남도,양산시,(주)범어점,경상남도 양산시 물금읍 서남3길 11,055-385-3377,고전압배터리 제외 전 작업 수리 가능
36,현대,서울특별시,관악구,(주)봉천점,서울특별시 관악구 남부순환로 1686 (신림동),02-876-8204,고전압배터리 제외 전 작업 수리 가능
37,현대,부산광역시,사하구,(주)부산정비,부산광역시 사하구 을숙도대로 670 (장림동),051-263-2111,고전압배터리 제외 전 작업 수리 가능
38,현대,충청남도,부여군,(주)부여점,충청남도 부여군 부여읍 성왕로 369,041-832-3233,고전압배터리 제외 전 작업 수리 가능
39,현대,제주특별자치도,제주시,(주)산지공업사,제주특별자치도 제주시 선반로 62 (화북일동),064-758-7182,고전압배터리 제외 전 작업 수리 가능
40,현대,인천광역시,동구,(주)삼공사,인천광역시 동구 중봉대로 73 (송현동),032-777-3304,고전압배터리 제외 전 작업 수리 가능
41,현대,경상북도,포항시,(주)삼일 이알씨,경상북도 포항시 남구 철강로 159 (장흥동),054-285-3030,고전압배터리 제외 전 작업 수리 가능
42,현대,경기도,부천시,(주)상동점,경기도 부천시 장말로 174,032-611-5400,고전압배터리 제외 전 작업 수리 가능
43,현대,대전광역시,서구,(주)서대전현대서비스,대전광역시 서구 가수원로 103-13 (가수원동),042-534-8403,고전압배터리 제외 전 작업 수리 가능
44,현대,서울특별시,관악구,(주)서림점,서울특별시 관악구 신림로 171 금원프라자1층 (서림동),02-888-4700,고전압배터리 제외 전 작업 수리 가능
45,현대,인천광역시,서구,(주)서인천종합서비스,인천광역시 서구 원석로 160 (원창동),032-581-8601,모든수리
46,현대,충청남도,서산시,(주)석림점,충청남도 서산시 서해로 3447 (석림동),041-665-9761,고전압배터리 제외 전 작업 수리 가능
47,현대,서울특별시,송파구,(주)석촌현대자동차서비스,서울특별시 송파구 백제고분로39길 40 (석촌동),02-413-0117,고전압배터리 제외 전 작업 수리 가능
48,현대,인천광역시,강화군,(주)선두자동차,인천광역시 강화군 선원면 중앙로 148,032-934-7785,고전압배터리 제외 전 작업 수리 가능
49,현대,경기도,안산시,(주)선부점,경기도 안산시 단원구 화정천서로2안길 1 (선부동),031-482-4300,고전압배터리 제외 전 작업 수리 가능
50,현대,경기도,고양시,(주)성도모터스,경기도 고양시 일산동구 백마로 488 (풍동),031-907-1883,고전압배터리 제외 전 작업 수리 가능
51,현대,경기도,용인시,(주)성복점,경기도 용인시 수지구 수지로 106 (성복동),031-264-8811,고전압배터리 제외 전 작업 수리 가능
52,현대,경기도,고양시,(주)성사점,경기도 고양시 덕양구 고양대로 1361 (성사동),031-967-6969,고전압배터리 제외 전 작업 수리 가능
53,현대,경상남도,창원시,(주)성산현대서비스,경상남도 창원시 성산구 해원로374번길 5 (성주동),055-261-2119,모든수리
54,현대,경기도,고양시,(주)성일공업사,경기도 고양시 일산동구 성석로 365 (성석동),031-977-4992,고전압배터리 제외 전 작업 수리 가능
55,현대,충청남도,천안시,(주)성정북부점,충청남도 천안시 서북구 백석로 226 (성정동),041-574-7277,고전압배터리 제외 전 작업 수리 가능
56,현대,경기도,부천시,(주)소사점,경기도 부천시 소사로 142 (소사본동),032-342-3989,고전압배터리 제외 전 작업 수리 가능
57,현대,인천광역시,연수구,(주)송도점,"인천광역시 연수구 신송로 118번길 9, 115호 (송도동)",032-815-0058,고전압배터리 제외 전 작업 수리 가능
58,현대,인천광역시,동구,(주)송림점,인천광역시 동구 송미로35번길 18,032-777-8204,고전압배터리 제외 전 작업 수리 가능
59,현대,경기도,시흥시,(주)시흥현대모터스,경기도 시흥시 은행로 47 (은행동),031-314-0123,고전압배터리 제외 전 작업 수리 가능
60,현대,경기도,고양시,(주)신도시카독크,경기도 고양시 일산동구 장대길 160-54 (장항동),031-905-5555,고전압배터리 제외 전 작업 수리 가능
61,현대,인천광역시,계양구,(주)아진모터스,인천광역시 계양구 아나지로 434 (작전동),032-546-2100,고전압배터리 제외 전 작업 수리 가능
62,현대,경기도,안산시,(주)안산모터스,경기도 안산시 단원구 연수원로 17 (원시동),031-493-5523,고전압배터리 제외 전 작업 수리 가능
63,현대,경기도,안산시,(주)안산현대서비스,경기도 안산시 상록구 오목로 165 (본오동),031-409-7788,모든수리
64,현대,경기도,평택시,(주)안중동부,"경기도 평택시 안중읍 안중6길 2-1, 2층",031-684-2222,고전압배터리 제외 전 작업 수리 가능
65,현대,광주광역시,북구,(주)양산점,광주광역시 북구 하서로 353 (양산동),062-572-8504,고전압배터리 제외 전 작업 수리 가능
66,현대,경기도,양주시,(주)양주자동차정비공업사,경기도 양주시 평화로 1617 (회정동),031-858-1748,고전압배터리 제외 전 작업 수리 가능
67,현대,부산광역시,사상구,(주)엄궁점,부산광역시 사상구 엄궁남로 1 (엄궁동),051-328-7773,고전압배터리 제외 전 작업 수리 가능
68,현대,경기도,오산시,(주)엔케이텍,경기도 오산시 남부대로 380 (원동),031-377-3311,고전압배터리 제외 전 작업 수리 가능
69,현대,서울특별시,강남구,(주)역삼현대서비스,서울특별시 강남구 역삼로 238 (역삼동),02-561-9830,고전압배터리 제외 전 작업 수리 가능
70,현대,서울특별시,은평구,(주)역촌점,서울특별시 은평구 진흥로 49 (역촌동),02-352-8272,고전압배터리 제외 전 작업 수리 가능
71,현대,인천광역시,연수구,(주)연수점,인천광역시 연수구 동곡재로 31 (동춘동),032-811-8204,고전압배터리 제외 전 작업 수리 가능
72,현대,서울특별시,마포구,(주)염리점,서울특별시 마포구 백범로25길 49 (염리동),02-701-5705,고전압배터리 제외 전 작업 수리 가능
73,현대,서울특별시,금천구,(주)영남중공업,서울특별시 금천구 시흥대로153길 26 (독산동),02-855-9966,고전압배터리 제외 전 작업 수리 가능
74,현대,서울특별시,송파구,(주)오금동부점,서울특별시 송파구 위례성대로 194 (오금동),02-443-0049,고전압배터리 제외 전 작업 수리 가능
75,현대,경기도,부천시,(주)오토맥스,경기도 부천시 부천로 190,032-665-8030,고전압배터리 제외 전 작업 수리 가능
76,현대,경기도,고양시,(주)오토킹,경기도 고양시 덕양구 충장로 208 (화정동),031-978-0088,고전압배터리 제외 전 작업 수리 가능
77,현대,충청북도,옥천군,(주)옥천현대상용서비스,충청북도 옥천군 옥천읍 옥천동이로 100-8,043-732-2200,고전압배터리 제외 전 작업 수리 가능
78,현대,충청북도,옥천군,(주)옥천현대서비스,충청북도 옥천군 옥천읍 마장로 67,043-731-8256,모든수리
79,현대,서울특별시,마포구,(주)용강점,서울특별시 마포구 토정로 270 (용강동),02-711-9228,고전압배터리 제외 전 작업 수리 가능
80,현대,경기도,군포시,(주)우성현대서비스,경기도 군포시 공단로 125 (당동),031-429-1102,고전압배터리 제외 전 작업 수리 가능
81,현대,광주광역시,광산구,(주)운남점,광주광역시 광산구 풍영철길로 151 (운남동),062-955-4111,고전압배터리 제외 전 작업 수리 가능
82,현대,경기도,안산시,(주)원시점,"경기도 안산시 단원구 산단로 107(원시동,서흥테크노밸리 101-1,2)",031-508-9990,고전압배터리 제외 전 작업 수리 가능
83,현대,경상남도,창원시,(주)유로트럭모터스,경상남도 창원시 진해구 남영로 571,055-544-1222,고전압배터리 제외 전 작업 수리 가능
84,현대,대전광역시,유성구,(주)유성현대서비스,대전광역시 유성구 한밭대로 398 (궁동),042-824-4972,고전압배터리 제외 전 작업 수리 가능
85,현대,경기도,양주시,(주)은현점,경기도 양주시 은현면 화합로 976,031-859-2556,고전압배터리 제외 전 작업 수리 가능
86,현대,경기도,의정부시,(주)의정부현대서비스,경기도 의정부시 입석로 76,031-879-7700,고전압배터리 제외 전 작업 수리 가능
87,현대,인천광역시,계양구,(주)작전점,인천광역시 계양구 장제로 727 (작전동),032-888-5959,고전압배터리 제외 전 작업 수리 가능
88,현대,경상남도,김해시,(주)전국정비,경상남도 김해시 한림면 김해대로 1131-2,055-342-1677,고전압배터리 제외 전 작업 수리 가능
89,현대,전북특별자치도,전주시,(주)전북고속터미널,전북특별자치도 전주시 덕진구 가리내로 30 (금암동),063-270-1781,고전압배터리 제외 전 작업 수리 가능
90,현대,서울특별시,성북구,(주)정릉점,서울특별시 성북구 솔샘로 35 (정릉동),02-941-0466,고전압배터리 제외 전 작업 수리 가능
91,현대,경기도,시흥시,(주)정왕북부점,경기도 시흥시 함송로13번길 14 (정왕동),031-432-4233,고전압배터리 제외 전 작업 수리 가능
92,현대,경기도,시흥시,(주)정왕점,경기도 시흥시 중심상가로 48 (정왕동),031-488-8217,고전압배터리 제외 전 작업 수리 가능
93,현대,경기도,부천시,(주)중동점,경기도 부천시 원미구 장말로 177 (중동),032-668-8272,고전압배터리 제외 전 작업 수리 가능
94,현대,경기도,화성시,(주)중앙고속,경기도 화성시 풀무골로 1 (영천동),031-376-8288,고전압배터리 제외 전 작업 수리 가능
95,현대,경기도,파주시,(주)지에스모터스,경기도 파주시 교하로863번길 5 (문발동),031-918-8282,고전압배터리 제외 전 작업 수리 가능
96,현대,대전광역시,유성구,(주)진잠점,대전광역시 유성구 진잠로 118 (원내동),042-526-8272,고전압배터리 제외 전 작업 수리 가능
97,현대,경상남도,창원시,(주)진해현대서비스,경상남도 창원시 진해구 죽곡로 136,055-546-8582,모든수리
98,현대,대구광역시,북구,(주)창신종합중기정비,대구광역시 북구 신천동로 980 (산격동),053-382-5900,고전압배터리 제외 전 작업 수리 가능
99,현대,경상남도,창원시,(주)창원신일현대서비스,경상남도 창원시 의창구 차상로 187 (팔용동),055-292-9500,모든수리
100,현대,경상남도,양산시,(주)천일정비,경상남도 양산시 물금읍 제방로 27,055-371-2230,고전압배터리 제외 전 작업 수리 가능
101,현대,경기도,광주시,(주)탄벌점,경기도 광주시 회안대로 714 ,031-761-8110,고전압배터리 제외 전 작업 수리 가능
102,현대,경기도,파주시,(주)파주현대상용서비스,경기도 파주시 월롱면 도감로 164,031-949-8074,고전압배터리 제외 전 작업 수리 가능
103,현대,경기도,남양주,(주)평내현대써비스,경기도 남양주시 경춘로 1319 (평내동),031-595-3663,고전압배터리 제외 전 작업 수리 가능
104,현대,경기도,평택시,(주)평택합정점,경기도 평택시 배미1길 6 ,031-658-6619,고전압배터리 제외 전 작업 수리 가능
105,현대,경기도,평택시,(주)평택항 현대서비스,경기도 평택시 포승읍 하만호길 237,031-686-9752,고전압배터리 제외 전 작업 수리 가능
106,현대,경기도,평택시,(주)포승자동차,경기도 평택시 포승읍 거산길 10,031-681-9777,고전압배터리 제외 전 작업 수리 가능
